Anomalias de precipitação mm/day
SJ Rio Preto
Ano Anomalia
     -28,923412
     40,393883
     18,674353
     46,257904
     -42,861504
     5,535480
     28,723846
     -9,664294
     -0,021087
     -39,116135
     11,001484
     18,557215
     -26,622658
     -41,341415
     -63,790962
     -8,313551
     35,439240
     12,852062
     -16,776836
     -11,270930
     -8,560911
     -38,248997
     5,828645
     47,104740
     -16,270428
     -8,027444
     13,301786
     -4,384174
     -28,465418
     -37,894894
     -15,326940
     -10,667560
     10,561433
     -8,300242
     50,909084
     32,936798
     -61,403332
     -122,941193
     99,253609
     46,646744
     4,250206
     2,943589
     -16,808355
     -9,777365
     -11,672585
     -7,063714
     -40,686710
     22,673967
     -38,243103
     -62,706467
     41,859795
     -75,160110
     -47,557426
     -20,441200
     -16,118690
     -11,211795
     -12,279233
     -39,275146
     3,143049
     -80,051826
     64,709991
Aracatuba
Ano Anomalia
1981 -77,690720
1982 -55,617954
1983 -81,735741
1984 -4,024995
1985 -50,216637
1986 39,272671
1987 -15,022238
1988 -15,680887
1989 -37,952709
1990 71,994843
1991 38,319046
1992 32,997883
1993 -57,773270
1994 -31,709274
1995 157,035812
1996 -41,278542
1997 11,088508
1998 16,717724
1999 21,569731
2000 -4,435066
2001 -22,673531
2002 50,878868
2003 42,400253
2004 57,965046
2005 100,283653
2006 -46,189823
2007 11,607364
2008 70,621803
2009 49,680073
2010 -6,882295
2011 2,459276
2012 -17,741175
2013 62,626835
2014 33,849743
2015 34,209709
2016 25,204327
2017 -83,895897
2018 -58,369949
2019 7,852810
2020 3,361280
     -23,228951
     -24,536709
     -12,487865
     25,072054
     5,668489
     -57,068699
     -32,595226
     57,154991
     -52,607506
     -9,075609
     53,452400
     58,185345
     -17,926250
     -10,559783
     -2,340847
     -13,156116
     -31,013483
     -57,428230
     -13,768958
     -100,329277
     -71,302795
     0,891237
     50,285667
     -19,294683
     49,605503
     -24,591909
     -0,106113
     36,678303
     -30,370331
     -48,431767
     -17,713058
     43,246281
     42,375618
     -2,315836
     -50,556961
     -18,316111
     18,684246
     -8,687635
     -4,669444
     -13,554482
     -6,443135
     -0,253360
     6,669292
     -31,401951
     -52,624290
     40,372082
     8,528787
     36,292587
     1,368055
     -19,180780
     -15,637990
     -18,656729
     -46,221191
     50,502052
     -47,377518
     39,709946
     86,293083
     94,263809
     -28,908567
     -35,681995
     -6,384329
     19,542803
     29,771292
     25,288994
     11,390169
     -23,836071
     25,843809
     31,372786
     -15,057770
     -105,822639
     36,448223
     33,478596
     17,664246
     -14,146596
     1,380680
     45,264648
     39,788460
     -17,788799
     -5,125839
     -54,163502
     42,382450
     -24,551249
     42,973606
     20,639879
     -39,270535
     13,073724
     -4,102929
     -18,386343
     -18,781761
     -20,475443
     -64,583504
     12,350223
     -123,825050
     -21,672359
     19,273146
     64,310860
     59,007618
     -18,631674
     -2,668485
     -5,761274
     47,770885
     26,366360
     12,148463
     -93,418045
     -53,414989
     50,185146
     29,569721
     3,371678
     -24,955153
     27,853880
     -12,572603
     10,129917
     20,112999
